x,y,r,g,b,line,col,level
375,513,98,66,60,9,5,1
384,509,213,144,84,9,5,2
396,507,255,216,188,9,5,3
431,516,216,104,84,9,6,0
439,512,214,187,148,9,6,1
450,509,107,63,52,9,6,2
454,509,231,172,115,9,6,3
488,508,211,194,159,9,7,0
497,509,221,137,65,9,7,1
505,508,212,89,80,9,7,2
510,507,91,96,102,9,7,3
546,501,217,110,89,9,8,0
593,500,108,76,52,9,8,1
582,506,94,61,53,9,8,2
576,508,233,147,61,9,8,3
607,493,201,179,136,9,9,0
618,501,244,203,158,9,9,1
627,505,110,60,55,9,9,2
633,509,196,130,68,9,9,3
665,505,149,47,45,9,10,0
674,507,243,201,154,9,10,1
680,506,103,65,58,9,10,2
687,509,148,97,61,9,10,3
721,500,68,59,51,9,11,0
728,504,239,179,119,9,11,1
738,507,84,97,110,9,11,2
747,507,211,112,95,9,11,3
782,501,205,104,74,9,12,0
793,506,133,95,78,9,12,1
802,506,222,161,100,9,12,2
810,508,170,70,57,9,12,3
842,499,53,58,69,9,13,0
850,503,213,163,103,9,13,1
857,504,90,60,52,9,13,2
864,502,219,137,62,9,13,3
893,489,157,45,47,9,14,0
906,488,99,70,45,9,14,1
916,508,102,65,63,9,14,2
922,503,214,89,78,9,14,3
959,478,141,109,82,9,15,0
963,489,201,125,60,9,15,1
973,494,78,71,60,9,15,2
979,503,149,51,57,9,15,3
1012,499,209,97,84,9,16,0
1018,498,186,167,126,9,16,1
1025,499,61,52,48,9,16,2
1031,498,233,173,119,9,16,3
1061,498,70,52,52,9,17,0
1068,501,222,141,80,9,17,1
1074,502,73,79,88,9,17,2
1082,503,227,161,100,9,17,3
1113,501,224,127,100,9,18,0
1121,505,92,59,45,9,18,1
1128,505,213,138,88,9,18,2
1136,505,90,57,55,9,18,3
1166,517,102,58,65,9,19,0
1171,513,218,155,90,9,19,1
1179,507,80,92,99,9,19,2
1185,509,237,128,107,9,19,3
139,572,56,50,48,10,0,0
98,564,241,189,133,10,0,1
105,563,111,68,72,10,0,2
115,564,216,93,83,10,0,3
148,560,109,69,77,10,1,0
155,561,218,144,81,10,1,1
164,565,60,53,44,10,1,2
171,562,175,64,55,10,1,3
199,562,228,99,90,10,2,0
207,563,98,106,108,10,2,1
217,565,255,210,184,10,2,2
224,559,254,210,184,10,2,3
256,560,173,101,48,10,3,0
263,563,230,108,96,10,3,1
273,561,103,86,52,10,3,2
281,563,135,64,53,10,3,3
313,550,80,91,100,10,4,0
320,556,179,68,67,10,4,1
328,558,243,184,124,10,4,2
335,556,155,47,44,10,4,3
371,552,235,163,99,10,5,0
378,559,93,63,53,10,5,1
388,558,217,158,94,10,5,2
396,558,80,91,94,10,5,3
430,556,57,67,85,10,6,0
438,558,170,53,60,10,6,1
450,558,239,180,119,10,6,2
456,557,255,210,177,10,6,3
494,552,134,111,95,10,7,0
501,553,219,155,93,10,7,1
509,555,59,49,45,10,7,2
518,556,214,132,62,10,7,3
553,558,213,139,70,10,8,0
561,549,56,51,43,10,8,1
571,557,187,117,51,10,8,2
576,557,63,68,84,10,8,3
610,552,234,168,102,10,9,0
619,559,102,67,57,10,9,1
627,560,208,95,78,10,9,2
634,560,83,57,36,10,9,3
669,555,88,51,56,10,10,0
677,557,202,97,75,10,10,1
684,560,196,180,138,10,10,2
691,558,99,60,66,10,10,3
724,555,218,105,92,10,11,0
732,560,103,76,50,10,11,1
741,563,166,55,58,10,11,2
751,559,245,212,171,10,11,3
785,563,73,88,92,10,12,0
795,566,183,111,47,10,12,1
803,562,86,51,49,10,12,2
813,561,203,97,91,10,12,3
844,553,178,64,69,10,13,0
851,559,209,194,154,10,13,1
860,559,237,179,120,10,13,2
866,557,255,207,188,10,13,3
948,535,130,95,82,10,14,0
944,544,223,163,101,10,14,1
